PeakID (cmd=annotatePeaks.pl 4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_38	chr1	11968208	11968348	+	23697	NA	Intergenic--121	U5|snRNA|snRNA	18207	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1591	chr13	46948600	46948725	+	22436	NA	intron (NM_001286761, intron 2 of 14)	U2|snRNA|snRNA	12973	NM_025113	80183	Hs.98117	NM_025113	ENSG00000102445	KIAA0226L	C13orf18	KIAA0226-like	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_574	chr1	210547478	210547614	+	21725	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44906	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1016	chr11	59327801	59327875	+	21028	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	34793	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6035	chrM	15894	16015	+	20677	NA	NA	Intergenic	NA	NA								
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3770	chr22	48713614	48713672	+	19205	NA	Intergenic--16687	L3|LINE|CR1	43467	NR_036172	100422916		NR_036172	ENSG00000266508	MIR3201	-	microRNA 3201	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2102	chr15	65597014	65597152	+	19065	NA	Intergenic--12418	U5|snRNA|snRNA	-17902	NM_001316944	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5317	chr6	52860611	52860762	+	16580	NA	Intergenic	promoter-TSS (NM_001512)	-508	NM_001512	2941	Hs.485557	NM_001512	ENSG00000170899	GSTA4	GSTA4-4|GTA4	glutathione S-transferase alpha 4	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_200	chr1	52439083	52439142	+	16295	NA	intron (NM_002867, intron 2 of 4)	5S|rRNA|rRNA	17324	NM_002867	5865	Hs.123072	NM_002867	ENSG00000169213	RAB3B	-	RAB3B, member RAS oncogene family	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3474	chr2	83038777	83038845	+	15112	NA	Intergenic--2113	U2|snRNA|snRNA	-45116	NR_033423	1720	Hs.169235	NR_033423		LOC1720	-	dihydrofolate reductase pseudogene	pseudo
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4123a	chr22	43011249	43011417	+	13298	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	82	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2101	chr15	65588388	65588528	+	13019	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_001316944	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5908	chr8	33370991	33371114	+	12612	NA	Intergenic	promoter-TSS (NM_001265581)	-349	NM_001265581	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3928	chr20	47896861	47896950	+	11534	NA	non-coding (NR_003695, exon 1 of 1)	promoter-TSS (NR_003030)	55	NR_003695	100113393	Hs.711216	NR_003695	ENSG00000222365	SNORD12B	-	small nucleolar RNA, C/D box 12B	snoRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6386b	chrM	12074	12330	+	11514	NA	NA	Intergenic	NA	NA								
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4809	chr6	26400206	26400267	+	11375	NA	Intergenic--5514	LTR65|LTR|ERV1	-2229	NM_001145009	11119	Hs.191510	NM_007048	ENSG00000026950	BTN3A1	BT3.1|BTF5|BTN3.1|CD277	butyrophilin, subfamily 3, member A1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6031	chrM	5778	5892	+	11348	NA	NA	Intergenic	NA	NA								
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5877	chr9	72803577	72803666	+	11258	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12817	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6367a	chrM	588	797	+	11087	NA	NA	Intergenic	NA	NA								
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2523	chr17	41464636	41464785	+	11016	NA	intron (NR_027412, intron 1 of 5)	U2|snRNA|snRNA	1556	NR_027412	100130581	Hs.546897	NR_027412	ENSG00000188825	LINC00910	-	long intergenic non-protein coding RNA 910	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1595	chr12	104519012	104519069	+	10919	NA	intron (NM_006166, intron 4 of 7)	promoter-TSS (NR_106988).14	-13	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2475b	chr17	37009113	37009341	+	10507	NA	non-coding (NR_002576, exon 1 of 1)	promoter-TSS (NR_002576)	21	NR_002576	619505	Hs.738742	NR_002576	ENSG00000199293	SNORA21	ACA21	small nucleolar RNA, H/ACA box 21	snoRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4938	chr6	66363813	66363870	+	10403	NA	intron (NM_001142801, intron 1 of 11)	intron (NM_001142801, intron 1 of 11)	53277	NM_001142800	346007	Hs.25067	NM_198283	ENSG00000188107	EYS	C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1	eyes shut homolog (Drosophila)	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2297	chr16	87640555	87640609	+	10123	NA	intron (NM_020655, intron 1 of 4)	MIRb|SINE|MIR	4089	NM_001271604	57338	Hs.592068	NM_020655	ENSG00000154118	JPH3	CAGL237|HDL2|JP-3|JP3|TNRC22	junctophilin 3	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6318	chr9	136216250	136216334	+	9902	NA	non-coding (NR_002447, exon 1 of 1)	promoter-TSS (NR_002447)	41	NR_002447	26820		NR_002447	ENSG00000206611	SNORD24	RNU24|U24	small nucleolar RNA, C/D box 24	snoRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6030a	chrM	213	409	+	9570	NA	NA	Intergenic	NA	NA								
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6134	chrX	75875478	75875529	+	9451	NA	Intergenic--17096	5S|rRNA|rRNA	227457	NM_020932	57692	Hs.8453	NM_020932	ENSG00000198934	MAGEE1	DAMAGE|HCA1	MAGE family member E1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2000	chr14	107092675	107092749	+	9451	NA	Intergenic	promoter-TSS (NR_106988).16	-4	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2881	chr18	37750760	37750814	+	9320	NA	Intergenic--14348	Intergenic	104537	NR_110791	101927900	Hs.385522	NR_110791	ENSG00000261715	LINC01477	-	long intergenic non-protein coding RNA 1477	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3523	chr2	115177702	115177783	+	9185	NA	Intergenic--2316	U2|snRNA|snRNA	-22157	NM_020868	57628	Hs.580539	NM_020868	ENSG00000175497	DPP10	DPL2|DPPY|DPRP-3|DPRP3	dipeptidyl-peptidase 10 (inactive)	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_6230	chrX	152716623	152716682	+	9009	NA	intron (NR_073156, intron 12 of 12)	U2|snRNA|snRNA	-4707	NM_080701	11219	Hs.644635	NM_080699	ENSG00000183479	TREX2	-	three prime repair exonuclease 2	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4997	chr6	89773269	89773384	+	8952	NA	Intergenic--5943	U2|snRNA|snRNA	-17103	NM_006813	10957	Hs.75969	NM_006813	ENSG00000146278	PNRC1	B4-2|PNAS-145|PROL2|PRR2	proline-rich nuclear receptor coactivator 1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4791	chr6	26124077	26124157	+	8783	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	15	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1095b	chr11	65267832	65268275	+	8641	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	2820	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5752	chr7	128337747	128337806	+	8456	NA	Intergenic--6920	5S|rRNA|rRNA	-11339	NM_001282789	84691	Hs.732440	NM_032599	ENSG00000135248	FAM71F1	FAM137A|NYD-SP18	family with sequence similarity 71, member F1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3740	chr22	39715043	39715118	+	8390	NA	non-coding (NR_002439, exon 1 of 1)	promoter-TSS (NR_002439)	38	NR_002439	26807		NR_002439	ENSG00000263764	SNORD43	RNU43|U43	small nucleolar RNA, C/D box 43	snoRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4462	chr5	40835245	40835341	+	8340	NA	5' UTR (NM_000997, exon 1 of 4)	promoter-TSS (NM_000997)	94	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_194	chr1	45187442	45187576	+	8159	NA	intron (NM_001145636, intron 6 of 11)	U5|snRNA|snRNA	-17981	NM_001297655	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5065	chr6	126301019	126301082	+	8069	NA	3' UTR (NM_138571, exon 5 of 5)	3' UTR (NM_138571, exon 5 of 5)	-6526	NM_001031712	60487	Hs.404186	NM_021820	ENSG00000066651	TRMT11	C6orf75|MDS024|TRM11|TRMT11-1	tRNA methyltransferase 11 homolog	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1092	chr11	65266516	65266603	+	7757	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	1326	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1441	chr12	85287731	85287807	+	7719	NA	intron (NM_018057, intron 1 of 4)	U2|snRNA|snRNA	18839	NM_001146335	55117	Hs.44424	NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 (neutral amino acid transporter), member 15	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1503b	chr12	120729553	120729708	+	7473	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3363	chr2	33141274	33141378	+	7429	NA	intron (NR_027099, intron 5 of 5)	(G)n|Simple_repeat|Simple_repeat	-10868	NR_027097	100271832	Hs.743603	NR_027097		LOC100271832	-	uncharacterized LOC100271832	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2063	chr15	45003711	45003837	+	7320	NA	5' UTR (NM_004048, exon 1 of 4)	promoter-TSS (NM_004048)	89	NM_004048	567	Hs.534255	NM_004048	ENSG00000166710	B2M	-	beta-2-microglobulin	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6527	chrX	108297758	108297860	+	7298	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	37	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5119	chr6	4428196	4428319	+	7239	NA	non-coding (NR_106988, exon 1 of 1).21	promoter-TSS (NR_106988).21	21	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3927	chr20	47895482	47895562	+	6947	NA	non-coding (NR_002433, exon 1 of 1)	promoter-TSS (NR_002433)	40	NR_002433	26765		NR_002433	ENSG00000209042	SNORD12C	E2|E2-1|E3|RNU106|SNORD106|U106	small nucleolar RNA, C/D box 12C	snoRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5507	chr8	27472134	27472219	+	6920	NA	5' UTR (NM_001831, exon 1 of 9)	5' UTR (NM_001831, exon 1 of 9)	152	NM_001831	1191	Hs.436657	NM_001831	ENSG00000120885	CLU	AAG4|APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	clusterin	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4027	chr3	134502324	134502399	+	6903	NA	Intergenic--3484	5S|rRNA|rRNA	-11738	NM_004441	2047	Hs.116092	NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5573	chr7	44836280	44836338	+	6870	NA	5' UTR (NM_021130, exon 1 of 5)	promoter-TSS (NM_021130)	74	NM_001300981	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4692	chr5	157403875	157403964	+	6841	NA	Intergenic--5220	U2|snRNA|snRNA	-117736	NM_001195555	9685	Hs.644000	NM_014666	ENSG00000113282	CLINT1	CLINT|ENTH|EPN4|EPNR	clathrin interactor 1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_132	chr1	28905261	28905332	+	6751	NA	non-coding (NR_003077, exon 1 of 1)	promoter-TSS (NR_003077)	38	NR_003077	692212		NR_003077	ENSG00000221539	SNORD99	HBII-420	small nucleolar RNA, C/D box 99	snoRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5082	chr5	176874158	176874210	+	6712	NA	intron (NM_001174101, intron 1 of 2)	CpG	388	NM_001174101	80758	Hs.534492	NM_030567	ENSG00000131188	PRR7	-	proline rich 7 (synaptic)	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4677	chr5	149829228	149829317	+	6472	NA	5' UTR (NM_005617, exon 1 of 5)	promoter-TSS (NM_005617)	47	NM_005617	6208	Hs.744846	NM_005617	ENSG00000164587	RPS14	EMTB|S14	ribosomal protein S14	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1082	chr11	65190268	65190365	+	6402	NA	non-coding (NR_131012, exon 1 of 1)	promoter-TSS (NR_131012)	47	NR_028272	283131	Hs.523789	NR_002802		NEAT1	LINC00084|NCRNA00084|TncRNA|VINC	nuclear paraspeckle assembly transcript 1 (non-protein coding)	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3228	chr19	49993223	49993308	+	6363	NA	non-coding (NR_000021, exon 1 of 1)	promoter-TSS (NR_000021)	42	NR_000021	26819		NR_000021	ENSG00000201675	SNORD32A	RNU32|U32|U32A	small nucleolar RNA, C/D box 32A	snoRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3723	chr2	217363546	217363640	+	6184	NA	5' UTR (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	73	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2652	chr17	79479724	79479828	+	6165	NA	5' UTR (NM_001199954, exon 1 of 6)	non-coding (NR_037688, exon 1 of 7)	116	NM_001199954	71	Hs.514581	NM_001614	ENSG00000184009	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	actin gamma 1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6370h	chrM	1527	2461	+	6097	NA	NA	Intergenic	NA	NA								
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1314	chr12	6643683	6643775	+	6064	NA	5' UTR (NM_002046, exon 1 of 9)	promoter-TSS (NM_001256799)	-96	NM_001289746	2597	Hs.544577	NM_002046	ENSG00000111640	GAPDH	G3PD|GAPD|HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_940	chr11	18416108	18416197	+	5877	NA	5' UTR (NM_001135239, exon 1 of 7)	non-coding (NR_028500, exon 1 of 7)	216	NM_001165416	3939	Hs.2795	NM_005566	ENSG00000134333	LDHA	GSD11|HEL-S-133P|LDHM|PIG19	lactate dehydrogenase A	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1026	chr11	59323935	59323989	+	5865	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	38669	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6196	chr9	98622193	98622251	+	5846	NA	intron (NR_023390, intron 1 of 2)	U2|snRNA|snRNA	-15678	NM_001010895	375748	Hs.432364	NM_020207	ENSG00000182150	ERCC6L2	BMFS2|C9orf102|RAD26L|SR278	excision repair cross-complementation group 6-like 2	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4571	chr5	101466795	101466846	+	5803	NA	Intergenic--4903	5S|rRNA|rRNA	165433	NM_180991	353189	Hs.127648	NM_180991	ENSG00000173930	SLCO4C1	OATP-H|OATP-M1|OATP4C1|OATPX|PRO2176|SLC21A20	solute carrier organic anion transporter family, member 4C1	protein-coding
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6370i	chrM	1527	2461	+	5794	NA	NA	Intergenic	NA	NA								
4E1-rapa-01_S2_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_499	chr1	173836003	173836076	+	5754	NA	non-coding (NR_003941, exon 1 of 1)	promoter-TSS (NR_003941)	37	NR_003941	692195		NR_003941		SNORD75	U75	small nucleolar RNA, C/D box 75	snoRNA
