PeakID (cmd=annotatePeaks.pl 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5plus_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1487	chr12	104519012	104519076	+	16761	NA	intron (NM_006166, intron 4 of 7)	promoter-TSS (NR_106988).14	-9	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_31	chr1	11968208	11968348	+	16265	NA	Intergenic--121	U5|snRNA|snRNA	18207	NM_138346	90231	Hs.520094	NM_138346	ENSG00000116685	KIAA2013	-	KIAA2013	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_555	chr1	210547481	210547614	+	14664	NA	intron (NM_018194, intron 3 of 11)	U5|snRNA|snRNA	44907	NM_001170580	55733	Hs.58650	NM_018194	ENSG00000054392	HHAT	MART2|SKI1|Skn	hedgehog acyltransferase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5553	chr8	33370991	33371113	+	13510	NA	Intergenic	promoter-TSS (NM_001265581)	-349	NM_001265581	80185	Hs.77135	NM_025115	ENSG00000129696	TTI2	C8orf41|MRT39	TELO2 interacting protein 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2411b	chr17	37009113	37009339	+	12705	NA	non-coding (NR_002576, exon 1 of 1)	promoter-TSS (NR_002576)	22	NR_002576	619505	Hs.738742	NR_002576	ENSG00000199293	SNORA21	ACA21	small nucleolar RNA, H/ACA box 21	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4881	chr6	126301018	126301082	+	12589	NA	3' UTR (NM_138571, exon 5 of 5)	3' UTR (NM_138571, exon 5 of 5)	-6526	NM_001031712	60487	Hs.404186	NM_021820	ENSG00000066651	TRMT11	C6orf75|MDS024|TRM11|TRMT11-1	tRNA methyltransferase 11 homolog	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5922	chrX	75875477	75875529	+	12440	NA	Intergenic--17096	5S|rRNA|rRNA	227457	NM_020932	57692	Hs.8453	NM_020932	ENSG00000198934	MAGEE1	DAMAGE|HCA1	MAGE family member E1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2010	chr15	65588388	65588528	+	11876	NA	Intergenic--12418	U5|snRNA|snRNA	-9277	NM_001316944	54956	Hs.30634	NM_017851	ENSG00000138617	PARP16	ARTD15|C15orf30|pART15	poly(ADP-ribose) polymerase family member 16	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3697	chr20	47896861	47896950	+	11279	NA	non-coding (NR_003695, exon 1 of 1)	promoter-TSS (NR_003030)	55	NR_003695	100113393	Hs.711216	NR_003695	ENSG00000222365	SNORD12B	-	small nucleolar RNA, C/D box 12B	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5998a	chrM	589	797	+	11052	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3892a	chr22	43011249	43011416	+	10690	NA	non-coding (NR_029422, exon 1 of 1)	promoter-TSS (NM_032311)	81	NR_029422	267010	Hs.574857	NR_029422	ENSG00000276027	RNU12	RNU12-1|RNU12L|RNU12P|dJ222E13.7	RNA, U12 small nuclear	snRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6014b	chrM	12076	12328	+	10573	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5599	chr8	60368444	60368515	+	9865	NA	Intergenic--7432	5S|rRNA|rRNA	-336712	NM_014729	9760	Hs.491805	NM_014729	ENSG00000198846	TOX	TOX1	thymocyte selection-associated high mobility group box	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6131	chrX	108297754	108297859	+	9619	NA	non-coding (NR_106735, exon 1 of 1)	promoter-TSS (NR_106735)	34	NR_106735	102464835		NR_106735	ENSG00000275110	MIR6087	hsa-mir-6087	microRNA 6087	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5827	chrM	5778	5892	+	9511	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2458	chr17	41464636	41464785	+	9412	NA	intron (NR_027412, intron 1 of 5)	U2|snRNA|snRNA	1556	NR_027413	100130581	Hs.546897	NR_027412	ENSG00000188825	LINC00910	-	long intergenic non-protein coding RNA 910	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4768	chr6	66363813	66363870	+	9408	NA	intron (NM_001142801, intron 1 of 11)	intron (NM_001142801, intron 1 of 11)	53277	NM_001142800	346007	Hs.25067	NM_198283	ENSG00000188107	EYS	C6orf178|C6orf179|C6orf180|EGFL10|EGFL11|RP25|SPAM|bA166P24.2|bA307F22.3|bA74E24.1|dJ1018A4.2|dJ22I17.2|dJ303F19.1	eyes shut homolog (Drosophila)	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5948	chr9	136216250	136216334	+	9289	NA	non-coding (NR_002447, exon 1 of 1)	promoter-TSS (NR_002447)	41	NR_002447	26820		NR_002447	ENSG00000206611	SNORD24	RNU24|U24	small nucleolar RNA, C/D box 24	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1222	chr11	120518145	120518198	+	9282	NA	intron (NM_001282470, intron 1 of 19)	L2b|LINE|L2	83026	NM_001282470	2900	Hs.538738	NM_014619	ENSG00000149403	GRIK4	EAA1|GRIK|GluK4|KA1	glutamate receptor, ionotropic, kainate 4	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3292	chr2	83038777	83038845	+	9170	NA	Intergenic--2113	U2|snRNA|snRNA	-45116	NR_033423	1720	Hs.169235	NR_033423		LOC1720	-	dihydrofolate reductase pseudogene	pseudo
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3916	chr3	134502337	134502399	+	9083	NA	Intergenic--3484	5S|rRNA|rRNA	-11731	NM_004441	2047	Hs.116092	NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5674	chr9	72803579	72803666	+	8811	NA	intron (NM_153267, intron 11 of 13)	U2|snRNA|snRNA	-12818	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3657	chr22	39715042	39715118	+	8762	NA	non-coding (NR_002439, exon 1 of 1)	promoter-TSS (NR_002439)	38	NR_002439	26807		NR_002439	ENSG00000263764	SNORD43	RNU43|U43	small nucleolar RNA, C/D box 43	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3192	chr2	33141271	33141368	+	8682	NA	intron (NR_027099, intron 5 of 5)	(G)n|Simple_repeat|Simple_repeat	-10875	NR_027097	100271832	Hs.743603	NR_027097		LOC100271832	-	uncharacterized LOC100271832	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4844	chr6	4428196	4428311	+	8455	NA	non-coding (NR_106988, exon 1 of 1).21	promoter-TSS (NR_106988).21	17	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5999	chrX	152716623	152716682	+	8419	NA	intron (NR_073156, intron 12 of 12)	U2|snRNA|snRNA	-4707	NM_080701	11219	Hs.644635	NM_080699	ENSG00000183479	TREX2	-	three prime repair exonuclease 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1909	chr14	107092675	107092749	+	8377	NA	Intergenic	promoter-TSS (NR_106988).16	-4	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5826a	chrM	192	409	+	8147	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5427	chr7	128337747	128337806	+	7754	NA	Intergenic--6920	5S|rRNA|rRNA	-11339	NR_104243	84691	Hs.732440	NM_032599	ENSG00000135248	FAM71F1	FAM137A|NYD-SP18	family with sequence similarity 71, member F1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3975	chr3	181540689	181540780	+	7652	NA	Intergenic--3670	5S|rRNA|rRNA	111022	NM_003106	6657	Hs.518438	NM_003106	ENSG00000181449	SOX2	ANOP3|MCOPS3	SRY box 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5279	chr7	44836278	44836338	+	7517	NA	5' UTR (NM_021130, exon 1 of 5)	promoter-TSS (NM_021130)	73	NM_001300981	5478	Hs.356331	NM_021130	ENSG00000196262	PPIA	CYPA|CYPH|HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A)	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4633	chr6	26124075	26124157	+	7512	NA	exon (NM_003526, exon 1 of 1)	promoter-TSS (NM_003526)	16	NM_003526	8347	Hs.658713	NM_003526		HIST1H2BC	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2271	chr16	68562245	68562295	+	7452	NA	Intergenic--13177	Intergenic	-10846	NM_001305203	146198	Hs.461074	NM_133458	ENSG00000184939	ZFP90	FIK|NK10|ZNF756|zfp-90	ZFP90 zinc finger protein	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_193	chr1	45187440	45187575	+	7334	NA	intron (NM_001145636, intron 6 of 11)	U5|snRNA|snRNA	-17983	NM_006845	11004	Hs.720061	NM_006845	ENSG00000142945	KIF2C	CT139|KNSL6|MCAK	kinesin family member 2C	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_197	chr1	52439083	52439143	+	7284	NA	intron (NM_002867, intron 2 of 4)	5S|rRNA|rRNA	17323	NM_002867	5865	Hs.123072	NM_002867	ENSG00000169213	RAB3B	-	RAB3B, member RAS oncogene family	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5864	chr9	123248899	123248951	+	7190	NA	intron (NR_073555, intron 14 of 37)	intron (NR_073555, intron 14 of 37)	93523	NM_001272039	55755	Hs.269560	NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1023a	chr11	65266516	65266818	+	6931	NA	non-coding (NR_002819, exon 1 of 1)	non-coding (NR_002819, exon 1 of 1)	1434	NR_002819	378938	Hs.621695	NR_002819	ENSG00000251562	MALAT1	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4363	chr4	119200344	119200452	+	6842	NA	non-coding (NR_002963, exon 1 of 1)	promoter-TSS (NR_002963)	53	NR_002963	677809	Hs.744742	NR_002963	ENSG00000275994	SNORA24	ACA24	small nucleolar RNA, H/ACA box 24	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1973	chr15	45003711	45003836	+	6777	NA	5' UTR (NM_004048, exon 1 of 4)	promoter-TSS (NM_004048)	88	NM_004048	567	Hs.534255	NM_004048	ENSG00000166710	B2M	-	beta-2-microglobulin	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3696	chr20	47895482	47895560	+	6743	NA	non-coding (NR_002433, exon 1 of 1)	promoter-TSS (NR_002433)	39	NR_002433	26765		NR_002433	ENSG00000209042	SNORD12C	E2|E2-1|E3|RNU106|SNORD106|U106	small nucleolar RNA, C/D box 12C	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1493b	chr12	120729553	120729708	+	6682	NA	Intergenic--11066	U4|snRNA|snRNA	-10494	NM_012240	23409	Hs.50861	NM_012240	ENSG00000089163	SIRT4	SIR2L4	sirtuin 4	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2272	chr16	68776379	68776465	+	6604	NA	non-coding (NR_106988, exon 1 of 1).17	promoter-TSS (NR_106988).17	3	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4341	chr5	40835244	40835342	+	6551	NA	5' UTR (NM_000997, exon 1 of 4)	promoter-TSS (NM_000997)	94	NM_000997	6167	Hs.447582	NM_000997		RPL37	L37	ribosomal protein L37	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1011	chr11	64915060	64915140	+	6472	NA	Intergenic--9830	U2|snRNA|snRNA	-13097	NM_172230	84447	Hs.75859	NM_032431	ENSG00000162298	SYVN1	DER3|HRD1	synovial apoptosis inhibitor 1, synoviolin	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1424	chr12	85287729	85287807	+	6429	NA	intron (NM_018057, intron 1 of 4)	U2|snRNA|snRNA	18840	NM_182767	55117	Hs.44424	NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 (neutral amino acid transporter), member 15	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1020	chr11	57587105	57587169	+	6424	NA	Intergenic	TTS (NM_001085463)	57903	NM_001085465	1500	Hs.166011	NM_001331	ENSG00000198561	CTNND1	CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	catenin (cadherin-associated protein), delta 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_961	chr11	59323936	59323989	+	6306	NA	Intergenic--9723	tRNA-Lys-AAA|tRNA|tRNA	38669	NR_036120	100422880		NR_036120	ENSG00000264559	MIR3162	mir-3162	microRNA 3162	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3064	chr19	49993223	49993311	+	6282	NA	non-coding (NR_000021, exon 1 of 1)	promoter-TSS (NR_000021)	44	NR_000021	26819		NR_000021	ENSG00000201675	SNORD32A	RNU32|U32|U32A	small nucleolar RNA, C/D box 32A	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_127	chr1	28905261	28905332	+	6068	NA	non-coding (NR_003077, exon 1 of 1)	promoter-TSS (NR_003077)	38	NR_003077	692212		NR_003077	ENSG00000221539	SNORD99	HBII-420	small nucleolar RNA, C/D box 99	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2593	chr17	79479719	79479829	+	6048	NA	5' UTR (NM_001199954, exon 1 of 6)	non-coding (NR_037688, exon 1 of 7)	118	NM_001199954	71	Hs.514581	NM_001614	ENSG00000184009	ACTG1	ACT|ACTG|BRWS2|DFNA20|DFNA26|HEL-176	actin gamma 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5303	chr8	27472133	27472219	+	5965	NA	5' UTR (NM_001831, exon 1 of 9)	5' UTR (NM_001831, exon 1 of 9)	152	NM_001831	1191	Hs.436657	NM_001831	ENSG00000120885	CLU	AAG4|APO-J|APOJ|CLI|CLU1|CLU2|KUB1|NA1/NA2|SGP-2|SGP2|SP-40|TRPM-2|TRPM2	clusterin	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5951	chr9	136217701	136217778	+	5729	NA	non-coding (NR_000016, exon 1 of 1)	promoter-TSS (NR_000016)	38	NR_000016	26813		NR_000016	ENSG00000252542	SNORD36C	RNU36C|U36c	small nucleolar RNA, C/D box 36C	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3507	chr2	217363546	217363639	+	5714	NA	5' UTR (NM_000998, exon 1 of 4)	promoter-TSS (NM_000998)	72	NM_000998	6168	Hs.433701	NM_000998		RPL37A	L37A	ribosomal protein L37a	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2053	chr16	2205016	2205106	+	5689	NA	non-coding (NR_002736, exon 1 of 1)	promoter-TSS (NR_002736)	45	NR_002736	26788		NR_002736	ENSG00000206630	SNORD60	RNU60|U60	small nucleolar RNA, C/D box 60	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1215	chr12	6643683	6643775	+	5668	NA	5' UTR (NM_002046, exon 1 of 9)	promoter-TSS (NM_001256799)	-96	NM_001289746	2597	Hs.544577	NM_002046	ENSG00000111640	GAPDH	G3PD|GAPD|HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6000l	chrM	1253	2728	+	5553	NA	NA	Intergenic	NA	NA								
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5646b	chr9	35657738	35658017	+	5521	NA	non-coding (NR_003051, exon 1 of 1)	promoter-TSS (NM_001195217)	138	NR_003051	6023	Hs.587502	NR_003051	ENSG00000269900	RMRP	CHH|NME1|RMRPR|RRP2	RNA component of mitochondrial RNA processing endoribonuclease	ncRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4824	chr6	89773268	89773384	+	5517	NA	Intergenic--5943	U2|snRNA|snRNA	-17103	NM_006813	10957	Hs.75969	NM_006813	ENSG00000146278	PNRC1	B4-2|PNAS-145|PROL2|PRR2	proline-rich nuclear receptor coactivator 1	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5466	chr7	139025442	139025536	+	5315	NA	intron (NR_073059, intron 1 of 1)	promoter-TSS (NM_001244584)	293	NR_073059	154791	Hs.718441	NM_197964	ENSG00000164898	C7orf55	FMC1|HSPC268	chromosome 7 open reading frame 55	protein-coding
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2336	chr16	89627835	89627925	+	5294	NA	non-coding (NR_002450, exon 1 of 1)	promoter-TSS (NR_002450)	42	NR_002450	606500		NR_002450		SNORD68	HBII-202	small nucleolar RNA, C/D box 68	snoRNA
4E1-rapa-02_S1_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3860	chr22	36713120	36713181	+	5276	NA	intron (NM_002473, intron 11 of 40)	5S|rRNA|rRNA	-30197	NR_106877	102465491		NR_106877	ENSG00000278420	MIR6819	hsa-mir-6819	microRNA 6819	ncRNA
